
CommandType     Name                                               Version    Source
Function        Get-MgDeviceManagementManagedDeviceUser            2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementManagedDeviceWindowsProtect… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementManagedDeviceWindowsProtect… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementManagedDeviceWindowsProtect… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementMobileAppTroubleshootingEve… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementMobileAppTroubleshootingEve… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementMobileAppTroubleshootingEve… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementMobileAppTroubleshootingEve… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementNotificationMessageTemplate  2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementNotificationMessageTemplate… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementNotificationMessageTemplate… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementNotificationMessageTemplate… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementSoftwareUpdateStatusSummary  2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementTroubleshootingEvent         2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementTroubleshootingEventCount    2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticAppHe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticBasel… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticBasel… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticBasel… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticBasel… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticBasel… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticBasel… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticBasel… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticBasel… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticBasel… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticCateg… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticCateg… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticCateg… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticCateg… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Get-MgDeviceManagementUserExperienceAnalyticDevic… 2.11.1     Microsoft.Graph.DeviceManagement
